date,geography,geography code,Economic activity status: Total: All usual residents aged 16 years and over,Economic activity status: Economically active (excluding full-time students),Economic activity status: Economically active (excluding full-time students):In employment,Economic activity status: Economically active (excluding full-time students):In employment:Employee,Economic activity status: Economically active (excluding full-time students): In employment: Employee: Part-time,Economic activity status: Economically active (excluding full-time students): In employment: Employee: Full-time,Economic activity status: Economically active (excluding full-time students):In employment:Self-employed with employees,Economic activity status: Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,Economic activity status: Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,Economic activity status: Economically active (excluding full-time students):In employment:Self-employed without employees,Economic activity status: Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,Economic activity status: Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,Economic activity status: Economically active (excluding full-time students): Unemployed,Economic activity status: Economically active and a full-time student,Economic activity status: Economically active and a full-time student:In employment,Economic activity status: Economically active and a full-time student:In employment:Employee,Economic activity status: Economically active and a full-time student: In employment: Employee: Part-time,Economic activity status: Economically active and a full-time student: In employment: Employee: Full-time,Economic activity status: Economically active and a full-time student:In employment:Self-employed with employees,Economic activity status: Economically active and a full-time student: In employment: Self-employed with employees: Part-time,Economic activity status: Economically active and a full-time student: In employment: Self-employed with employees: Full-time,Economic activity status: Economically active and a full-time student:In employment:Self-employed without employees,Economic activity status: Economically active and a full-time student: In employment: Self-employed without employees: Part-time,Economic activity status: Economically active and a full-time student: In employment: Self-employed without employees: Full-time,Economic activity status: Economically active and a full-time student: Unemployed,Economic activity status: Economically inactive,Economic activity status: Economically inactive: Retired,Economic activity status: Economically inactive: Student,Economic activity status: Economically inactive: Looking after home or family,Economic activity status: Economically inactive: Long-term sick or disabled,Economic activity status: Economically inactive: Other
2021,Gwynedd,W06000002,97968,52292,49852,38931,11791,27140,1967,391,1576,8954,3226,5728,2440,2681,1965,1825,1515,310,17,11,6,123,87,36,716,42995,25358,7449,3431,4112,2645
2021,Conwy,W06000003,96360,50107,47561,38361,11868,26493,1761,426,1335,7439,2846,4593,2546,1480,1158,1097,869,228,6,0,6,55,39,16,322,44773,29697,3623,3678,5201,2574
2021,Denbighshire,W06000004,78908,41792,39880,32942,9630,23312,1281,242,1039,5657,2111,3546,1912,1244,966,910,748,162,8,3,5,48,24,24,278,35872,22395,3193,3301,4908,2075
2021,Flintshire,W06000005,127578,75111,72141,62742,15188,47554,1695,334,1361,7704,2957,4747,2970,2242,1679,1603,1288,315,9,4,5,67,47,20,563,50225,32708,4549,4584,5511,2873
2021,Wrexham,W06000006,110274,62725,60072,52144,13239,38905,1523,300,1223,6405,2374,4031,2653,2324,1733,1634,1285,349,14,9,5,85,61,24,591,45225,26254,4857,4464,5642,4008
2021,Ceredigion,W06000008,61392,29845,28718,20692,6529,14163,1283,222,1061,6743,2502,4241,1127,2119,1401,1286,1109,177,8,4,4,107,89,18,718,29428,16997,6150,2119,2730,1432
2021,Pembrokeshire,W06000009,102551,54182,51697,39755,13058,26697,2196,481,1715,9746,3868,5878,2485,1352,1068,996,816,180,10,6,4,62,42,20,284,47017,30306,3544,4755,5632,2780
2021,Carmarthenshire,W06000010,155487,83262,79927,64829,18146,46683,2519,469,2050,12579,4506,8073,3335,2612,2025,1918,1589,329,15,7,8,92,60,32,587,69613,43170,6422,6296,9710,4015
2021,Swansea,W06000011,197857,100892,96019,83405,23799,59606,2559,605,1954,10055,4234,5821,4873,6483,4594,4333,3677,656,23,12,11,238,188,50,1889,90482,47263,16636,8283,12529,5771
2021,Neath Port Talbot,W06000012,117182,60380,57679,51142,13667,37475,1232,270,962,5305,1923,3382,2701,2061,1512,1436,1199,237,11,8,3,65,48,17,549,54741,29419,6317,5583,9671,3751
2021,Bridgend,W06000013,119482,65649,62636,54787,14000,40787,1512,301,1211,6337,2440,3897,3013,1830,1348,1290,1066,224,11,5,6,47,30,17,482,52003,29482,4755,5313,8077,4376
2021,Vale of Glamorgan,W06000014,107457,61271,58633,49275,13528,35747,1901,381,1520,7457,3291,4166,2638,1688,1282,1216,990,226,4,0,4,62,48,14,406,44498,28073,4667,4104,5029,2625
2021,Cardiff,W06000015,296314,159756,151501,130031,33004,97027,3588,814,2774,17882,7981,9901,8255,12978,8939,8157,6924,1233,70,46,24,712,610,102,4039,123580,49949,35981,13684,14833,9133
2021,Rhondda Cynon Taff,W06000016,193843,105703,100541,87154,22638,64516,2458,462,1996,10929,3370,7559,5162,3903,2848,2720,2285,435,20,8,12,108,73,35,1055,84237,44994,9774,8894,14687,5888
2021,Caerphilly,W06000018,143484,79503,75799,66944,16451,50493,1631,330,1301,7224,2530,4694,3704,2326,1640,1568,1289,279,10,5,5,62,47,15,686,61655,33893,5848,6900,10856,4158
2021,Blaenau Gwent,W06000019,55141,29768,28166,25171,6172,18999,588,122,466,2407,821,1586,1602,883,630,606,457,149,4,1,3,20,12,8,253,24490,12808,1975,2937,5026,1744
2021,Torfaen,W06000020,75112,41766,39763,35275,8918,26357,775,143,632,3713,1308,2405,2003,1175,891,861,693,168,6,0,6,24,19,5,284,32171,18673,2811,3455,5109,2123
2021,Monmouthshire,W06000021,78238,43539,42025,33718,9140,24578,1463,321,1142,6844,2917,3927,1514,1019,804,745,620,125,8,6,2,51,40,11,215,33680,22877,2826,2767,3058,2152
2021,Newport,W06000022,127420,74662,70863,62494,15978,46516,1528,377,1151,6841,2750,4091,3799,2635,1924,1846,1487,359,9,6,3,69,51,18,711,50123,26175,5732,6443,7411,4362
2021,Powys,W06000023,112536,62806,60699,43856,13628,30228,2614,497,2117,14229,4950,9279,2107,1246,1027,946,776,170,5,5,0,76,52,24,219,48484,33173,3819,4004,4770,2718
2021,Merthyr Tydfil,W06000024,47676,26347,25035,22007,5761,16246,623,127,496,2405,702,1703,1312,836,599,584,441,143,0,0,0,15,11,4,237,20493,10539,1973,2263,4107,1611
