"date","geography","geography code","Marital and civil partnership status: Total; measures: Value","Marital and civil partnership status: Never married and never registered a civil partnership; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership: Married; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership: Married: Opposite sex; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership: Married: Same sex; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value","Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value","Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership; measures: Value","Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value","Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value","Marital and civil partnership status: Divorced or civil partnership dissolved; measures: Value","Marital and civil partnership status: Divorced or civil partnership dissolved: Divorced; measures: Value","Marital and civil partnership status: Divorced or civil partnership dissolved: Formerly in a civil partnership now legally dissolved; measures: Value","Marital and civil partnership status: Widowed or surviving civil partnership partner; measures: Value","Marital and civil partnership status: Widowed or surviving civil partnership partner: Widowed; measures: Value","Marital and civil partnership status: Widowed or surviving civil partnership partner: Surviving partner from civil partnership; measures: Value"
"2021","Wandsworth","E09000032",273558,152679,90241,88996,87722,1274,1245,319,926,4958,4881,77,17442,17310,132,8238,8197,41
"2021","Westminster","E09000033",177467,96552,57101,56242,55198,1044,859,176,683,4178,4035,143,13547,13454,93,6089,6025,64
"2021","Barking and Dagenham","E09000002",161744,67654,69279,69040,68681,359,239,165,74,4667,4645,22,13053,13029,24,7091,7085,6
"2021","Barnet","E09000003",309353,118816,145997,145315,144666,649,682,275,407,6808,6770,38,22848,22794,54,14884,14859,25
"2021","Bexley","E09000004",195827,73043,90252,89994,89614,380,258,118,140,4603,4584,19,16020,15992,28,11909,11905,4
"2021","Brent","E09000005",275143,119655,119190,118652,117697,955,538,266,272,6630,6586,44,17786,17734,52,11882,11862,20
"2021","Bromley","E09000006",265087,96698,126582,125976,125080,896,606,178,428,5458,5425,33,21204,21148,56,15145,15131,14
"2021","Croydon","E09000008",310398,133181,129228,128456,127503,953,772,279,493,8242,8197,45,25175,25068,107,14572,14545,27
"2021","Ealing","E09000009",295368,123268,132282,131424,130524,900,858,362,496,6346,6302,44,20490,20434,56,12982,12948,34
"2021","Enfield","E09000010",257182,104650,110581,110074,109611,463,507,251,256,7466,7435,31,21407,21371,36,13078,13060,18
"2021","Greenwich","E09000011",229747,108113,87275,86596,85515,1081,679,248,431,6634,6571,63,18766,18665,101,8959,8933,26
"2021","Harrow","E09000015",209623,69622,112921,112690,112368,322,231,130,101,3783,3766,17,11853,11840,13,11444,11428,16
"2021","Havering","E09000016",209730,77340,98547,98296,97946,350,251,118,133,4018,3996,22,16411,16373,38,13414,13406,8
"2021","Hillingdon","E09000017",241878,89544,117789,117288,116846,442,501,323,178,4934,4903,31,17253,17229,24,12358,12347,11
"2021","Hounslow","E09000018",228679,87585,108538,107885,107233,652,653,272,381,5498,5443,55,16827,16761,66,10231,10208,23
"2021","Kingston upon Thames","E09000021",135463,53331,63757,63364,62981,383,393,145,248,2471,2456,15,9775,9751,24,6129,6104,25
"2021","Merton","E09000024",172774,72293,77415,76867,76252,615,548,181,367,3466,3443,23,12303,12253,50,7297,7273,24
"2021","Redbridge","E09000026",242017,86920,123634,123196,122715,481,438,221,217,4943,4914,29,14846,14807,39,11674,11659,15
"2021","Richmond upon Thames","E09000027",155834,55958,77105,76477,75898,579,628,178,450,3005,2983,22,12518,12472,46,7248,7220,28
"2021","Sutton","E09000029",165657,60286,80163,79825,79447,378,338,154,184,3496,3472,24,12902,12871,31,8810,8806,4
"2021","Waltham Forest","E09000031",222181,104046,87974,87287,86231,1056,687,238,449,5332,5259,73,16422,16330,92,8407,8379,28
"2021","Bracknell Forest","E06000036",99935,35336,48281,48112,47869,243,169,58,111,2031,2020,11,9407,9388,19,4880,4874,6
"2021","Brighton and Hove","E06000043",235366,122750,77241,75357,72993,2364,1884,381,1503,4746,4628,118,20626,20379,247,10003,9905,98
"2021","Isle of Wight","E06000046",119588,37060,55436,55135,54782,353,301,113,188,2926,2914,12,14364,14349,15,9802,9780,22
"2021","Medway","E06000035",222759,84139,97875,97510,96857,653,365,180,185,5949,5909,40,21715,21679,36,13081,13073,8
"2021","Milton Keynes","E06000042",224829,83208,103965,103640,103051,589,325,119,206,5822,5779,43,20977,20932,45,10857,10850,7
"2021","Portsmouth","E06000044",170823,78904,61882,61540,60951,589,342,106,236,4127,4087,40,17160,17105,55,8750,8726,24
"2021","Reading","E06000038",141358,64334,57692,57409,57040,369,283,137,146,2812,2788,24,10390,10363,27,6130,6119,11
"2021","Slough","E06000039",118932,41898,60159,60001,59800,201,158,82,76,2925,2904,21,8799,8790,9,5151,5142,9
"2021","Southampton","E06000045",204368,97029,74519,74107,73590,517,412,169,243,4634,4598,36,18630,18578,52,9556,9535,21
"2021","West Berkshire","E06000037",130733,41175,67400,67207,66924,283,193,68,125,2544,2532,12,11947,11921,26,7667,7662,5
"2021","Windsor and Maidenhead","E06000040",123676,39602,63559,63260,62918,342,299,106,193,2413,2402,11,10707,10682,25,7395,7390,5
"2021","Wokingham","E06000041",140821,42627,77503,77307,77016,291,196,74,122,2316,2307,9,10673,10654,19,7702,7692,10
"2021","Buckinghamshire","E06000060",443394,139468,231749,231091,230159,932,658,236,422,8605,8555,50,37243,37163,80,26329,26304,25
"2021","East Sussex","E10000011",455642,145426,213461,211813,209810,2003,1648,382,1266,10703,10583,120,51069,50859,210,34983,34881,102
"2021","Hampshire","E10000014",1151125,353613,585777,583730,580762,2968,2047,706,1341,23853,23692,161,111993,111722,271,75889,75812,77
"2021","Kent","E10000016",1276566,441658,598151,595457,592019,3438,2694,883,1811,29530,29340,190,124304,124029,275,82923,82796,127
"2021","Oxfordshire","E10000025",595032,224083,278422,277162,275488,1674,1260,440,820,11090,11008,82,49297,49163,134,32140,32106,34
"2021","Surrey","E10000030",972514,322342,491863,490091,487829,2262,1772,636,1136,18604,18514,90,81504,81329,175,58201,58124,77
"2021","West Sussex","E10000032",727118,234296,351764,350011,347568,2443,1753,549,1204,15766,15650,116,74320,74095,225,50972,50870,102
"2021","Bath and North East Somerset","E06000022",161616,66741,70166,69833,69386,447,333,109,224,2707,2695,12,12911,12885,26,9091,9079,12
"2021","Bristol, City of","E06000023",389708,205669,131892,130838,129665,1173,1054,442,612,7155,7091,64,28649,28526,123,16343,16304,39
"2021","Cornwall","E06000052",477425,153721,224983,223771,222489,1282,1212,394,818,10071,10011,60,53553,53413,140,35097,35051,46
"2021","Isles of Scilly","E06000053",1730,473,927,927,926,1,0,0,0,34,34,0,158,158,0,138,138,0
"2021","North Somerset","E06000024",178566,54705,88263,87904,87436,468,359,126,233,3907,3895,12,18808,18767,41,12883,12867,16
"2021","Plymouth","E06000026",218627,87840,88282,87878,87275,603,404,140,264,5632,5527,105,23523,23443,80,13350,13329,21
"2021","Bournemouth, Christchurch and Poole","E06000058",334910,125449,144583,143658,142394,1264,925,202,723,6954,6881,73,35870,35748,122,22054,21990,64
"2021","South Gloucestershire","E06000025",237366,85114,113593,113224,112662,562,369,138,231,4362,4343,19,20521,20478,43,13776,13766,10
"2021","Swindon","E06000030",187151,63750,90900,90472,90021,451,428,204,224,4332,4304,28,18056,18005,51,10113,10096,17
"2021","Torbay","E06000027",117031,38409,51715,51387,50931,456,328,58,270,2824,2803,21,14733,14703,30,9350,9338,12
"2021","Wiltshire","E06000054",419113,126796,214191,213382,212374,1008,809,277,532,9343,9295,48,41793,41710,83,26990,26952,38
"2021","Devon","E10000008",683470,218554,330189,328575,326825,1750,1614,542,1072,14409,14302,107,71167,70989,178,49151,49080,71
"2021","Dorset","E06000059",321902,88059,166195,165425,164663,762,770,250,520,6760,6705,55,34609,34536,73,26279,26236,43
"2021","Gloucestershire","E10000013",532282,178988,255517,254486,253157,1329,1031,303,728,10679,10616,63,52575,52449,126,34523,34475,48
"2021","Somerset","E10000027",474940,147147,231834,230811,229671,1140,1023,342,681,10792,10722,70,51155,51061,94,34012,33968,44
"2021","Isle of Anglesey","W06000001",57147,18849,26596,26478,26394,84,118,38,80,1066,1062,4,5957,5947,10,4679,4672,7
"2021","Gwynedd","W06000002",97969,39248,40654,40409,40209,200,245,94,151,1712,1706,6,9040,9033,7,7315,7303,12
"2021","Conwy","W06000003",96366,31279,43990,43791,43520,271,199,56,143,2061,2052,9,10732,10712,20,8304,8287,17
"2021","Denbighshire","W06000004",78908,27100,35141,34968,34794,174,173,56,117,1801,1791,10,8631,8617,14,6235,6228,7
"2021","Flintshire","W06000005",127577,42831,60023,59844,59536,308,179,68,111,2667,2645,22,13095,13071,24,8961,8957,4
"2021","Wrexham","W06000006",110273,40685,48347,48153,47902,251,194,74,120,2239,2226,13,11418,11394,24,7584,7580,4
"2021","Powys","W06000023",112536,34692,54987,54685,54467,218,302,88,214,2348,2335,13,11478,11462,16,9031,9015,16
"2021","Ceredigion","W06000008",61389,23766,26468,26292,26133,159,176,60,116,1029,1016,13,5681,5670,11,4445,4438,7
"2021","Pembrokeshire","W06000009",102551,32566,48487,48264,48044,220,223,74,149,2210,2194,16,10912,10888,24,8376,8369,7
"2021","Carmarthenshire","W06000010",155488,50384,73529,73191,72771,420,338,122,216,3157,3133,24,16309,16288,21,12109,12096,13
"2021","Swansea","W06000011",197856,79035,81426,81115,80592,523,311,116,195,4280,4251,29,19206,19157,49,13909,13895,14
"2021","Neath Port Talbot","W06000012",117181,42934,50308,50101,49741,360,207,78,129,2567,2546,21,12603,12573,30,8769,8763,6
"2021","Bridgend","W06000013",119481,41927,54077,53886,53574,312,191,73,118,2485,2472,13,12431,12410,21,8561,8554,7
